crash_date,traffic_control_device,weather_condition,lighting_condition,first_crash_type,trafficway_type,alignment,roadway_surface_cond,road_defect,crash_type,intersection_related_i,damage,prim_contributory_cause,num_units,most_severe_injury,injuries_total,injuries_fatal,injuries_incapacitating,injuries_non_incapacitating,injuries_reported_not_evident,injuries_no_indication,crash_hour,crash_day_of_week,crash_month,parsed_datetime,date,time
01/10/2024 06:15:00 PM,7.0,4,5,6,7,3,3,3,2,1,2,FAILING TO YIELD RIGHT-OF-WAY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,18,4,1,01/10/2024,2024-01-10,18:15:00
01/05/2024 05:40:00 PM,5.0,3,5,3,13,3,3,3,2,1,4,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,3.0,17,6,1,01/05/2024,2024-01-05,17:40:00
04/15/2024 08:37:00 AM,5.0,3,2,3,5,3,3,3,2,1,2,IMPROPER OVERTAKING/PASSING,2,2,0.0,0.0,0.0,0.0,0.0,2.0,8,2,4,04/15/2024,2024-04-15,08:37:00
05/10/2024 02:00:00 PM,5.0,3,2,5,6,3,3,3,2,1,4,DISREGARDING TRAFFIC SIGNALS,2,2,0.0,0.0,0.0,0.0,0.0,5.0,14,6,5,05/10/2024,2024-05-10,14:00:00
07/28/2024 08:45:00 AM,5.0,5,2,5,5,3,4,3,2,1,4,DISREGARDING TRAFFIC SIGNALS,2,2,0.0,0.0,0.0,0.0,0.0,3.0,8,1,7,07/28/2024,2024-07-28,08:45:00
05/13/2024 12:22:00 PM,5.0,3,2,5,5,3,3,3,3,1,4,DISREGARDING TRAFFIC SIGNALS,2,4,2.0,0.0,0.0,2.0,0.0,0.0,12,2,5,05/13/2024,2024-05-13,12:22:00
04/09/2024 05:50:00 PM,5.0,3,2,5,7,3,3,3,3,1,4,DISREGARDING TRAFFIC SIGNALS,2,3,1.0,0.0,0.0,0.0,1.0,1.0,17,3,4,04/09/2024,2024-04-09,17:50:00
05/19/2024 12:59:00 PM,7.0,3,2,5,5,3,3,3,3,1,4,FAILING TO REDUCE SPEED TO AVOID CRASH,2,4,1.0,0.0,0.0,1.0,0.0,4.0,12,1,5,05/19/2024,2024-05-19,12:59:00
01/17/2024 03:29:00 PM,5.0,3,2,4,6,3,3,1,2,1,3,FOLLOWING TOO CLOSELY,2,2,0.0,0.0,0.0,0.0,0.0,2.0,15,4,1,01/17/2024,2024-01-17,15:29:00
05/28/2024 12:31:00 AM,5.0,3,5,5,5,3,3,1,2,1,4,DISREGARDING TRAFFIC SIGNALS,2,2,0.0,0.0,0.0,0.0,0.0,2.0,0,3,5,05/28/2024,2024-05-28,00:31:00
01/09/2024 07:20:00 AM,5.0,7,3,6,5,3,5,3,3,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,7,3,1,01/09/2024,2024-01-09,07:20:00
06/27/2024 08:18:00 AM,5.0,3,2,3,5,3,3,1,2,1,4,UNABLE TO DETERMINE,2,2,0.0,0.0,0.0,0.0,0.0,2.0,8,5,6,06/27/2024,2024-06-27,08:18:00
